time,EGY
2020,43781728.0
2019,42895825.0
2018,42030815.0
2017,41185808.0
2016,40359122.0
2015,39551545.0
2014,38737024.0
2013,37919407.0
2012,37114895.0
2011,36347578.0
2010,35603060.0
2009,34919602.0
2008,34289704.0
2007,33700834.0
2006,33111796.0
2005,32495529.0
2004,31879899.0
2003,31267887.0
2002,30659221.0
2001,30055505.0
2000,29457843.0
1999,28862915.0
1998,28270159.0
1997,27681744.0
1996,27145813.0
1995,26687689.0
1994,26238204.0
1993,25795988.0
1992,25351103.0
1991,24890672.0
1990,24406148.0
1989,23893891.0
1988,23358965.0
1987,22812396.0
1986,22241761.0
1985,21643299.0
1984,21068787.0
1983,20516520.0
1982,19987197.0
1981,19480106.0
1980,18994489.0
1979,18530886.0
1978,18089501.0
1977,17668393.0
1976,17210387.0
1975,16688305.0
1974,16186598.0
1973,15704279.0
1972,15235327.0
1971,14773795.0
1970,14315310.0
1969,13857715.0
1968,13401985.0
1967,12950508.0
1966,12508159.0
1965,12077650.0
1964,11659626.0
1963,11253199.0
1962,10858079.0
1961,10473607.0
1960,10084278.0
